error_id	error_type	error_layer	cx	cy	dist	access_x	access_y	cell	pin	access_status	ref	via_window_verdict	via_window_class
99	Off-grid	VIA1 (12)	49.309	269.736	0.027000000000001023	49.336	269.736	u_core/core_i/U5113	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
100	Off-grid	M2 (13)	49.309	269.736	0.027000000000001023	49.336	269.736	u_core/core_i/U5113	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
101	Off-grid	VIA1 (12)	242.805	275.056	0.026999999999986812	242.832	275.056	u_core/core_i/U1065	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
102	Off-grid	M2 (13)	242.805	275.056	0.026999999999986812	242.832	275.056	u_core/core_i/U1065	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
103	Off-grid	VIA1 (12)	241.133	268.368	0.026999999999986812	241.16	268.368	u_core/core_i/U1135	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
104	Off-grid	M2 (13)	241.133	268.368	0.026999999999986812	241.16	268.368	u_core/core_i/U1135	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
105	Off-grid	VIA1 (12)	297.069	266.392	0.026999999999986812	297.096	266.392	u_core/core_i/U19	A2	Routable	NOR2X0_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
106	Off-grid	M2 (13)	297.069	266.392	0.026999999999986812	297.096	266.392	u_core/core_i/U19	A2	Routable	NOR2X0_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
107	Off-grid	VIA1 (12)	237.789	281.744	0.027000000000015234	237.816	281.744	u_core/core_i/U1041	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
108	Off-grid	M2 (13)	237.789	281.744	0.027000000000015234	237.816	281.744	u_core/core_i/U1041	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
