ref_name	cell_name	pin_name	x	y	bucket50	line_no	point_index
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[21][30]	QN	199.664	39.608	150-200,000-050	12	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][5]	SE	159.688	64.5025	150-200,050-100	13	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][5]	SE	159.688	64.536	150-200,050-100	13	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][5]	SE	159.688	64.5192	150-200,050-100	13	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][25]	RSTB	180.36	64.992	150-200,050-100	14	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][25]	RSTB	180.36	64.9965	150-200,050-100	14	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][25]	RSTB	180.36	64.9942	150-200,050-100	14	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][26]	SE	160.296	57.8145	150-200,050-100	15	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][26]	SE	160.296	57.848	150-200,050-100	15	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][26]	SE	160.296	57.8312	150-200,050-100	15	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][31]	SE	159.688	54.4705	150-200,050-100	16	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][31]	SE	159.688	54.504	150-200,050-100	16	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[20][31]	SE	159.688	54.4872	150-200,050-100	16	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[19][1]	RSTB	199.664	34.896	150-200,000-050	17	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[19][1]	RSTB	199.664	34.9005	150-200,000-050	17	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[19][1]	RSTB	199.664	34.8982	150-200,000-050	17	3
