ref_name	cell_name	pin_name	point_x	point_y	point_bucket50	nearest_error_id	nearest_type	nearest_layer	nearest_cx	nearest_cy	nearest_bucket50	distance_um
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[15][31]	RSTB	199.6640	71.9840	150-200,050-100	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	33.1088
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[15][31]	RSTB	199.6640	71.9817	150-200,050-100	18	Off-grid	VIA1 (12)	223.5260	49.0320	200-250,000-050	33.1072
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][3]	Q	80.3440	119.7120	050-100,100-150	103	Off-grid	M1 (11)	74.1320	154.6465	050-100,150-200	35.4825
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][27]	RSTB	59.6720	138.5600	050-100,100-150	113	Off-grid	VIA1 (12)	58.1250	159.3840	050-100,150-200	20.8814
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][27]	RSTB	59.6720	138.5645	050-100,100-150	113	Off-grid	VIA1 (12)	58.1250	159.3840	050-100,150-200	20.8769
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][27]	RSTB	59.6720	138.5622	050-100,100-150	113	Off-grid	VIA1 (12)	58.1250	159.3840	050-100,150-200	20.8792
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[13][21]	SE	220.3360	144.7585	200-250,100-150	115	Needs fat contact	M1 (11)-M2 (13)	229.4560	162.8800	200-250,150-200	20.2870
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[13][21]	SE	220.3360	144.7920	200-250,100-150	115	Needs fat contact	M1 (11)-M2 (13)	229.4560	162.8800	200-250,150-200	20.2571
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[13][21]	SE	220.3360	144.7752	200-250,100-150	115	Needs fat contact	M1 (11)-M2 (13)	229.4560	162.8800	200-250,150-200	20.2721
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[12][1]	SE	80.3440	25.6240	050-100,000-050	11	Needs fat contact	M1 (11)-M2 (13)	40.6720	42.4960	000-050,000-050	43.1107
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[12][1]	SE	80.3440	25.6575	050-100,000-050	11	Needs fat contact	M1 (11)-M2 (13)	40.6720	42.4960	000-050,000-050	43.0976
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[12][1]	SE	80.3440	25.6407	050-100,000-050	11	Needs fat contact	M1 (11)-M2 (13)	40.6720	42.4960	000-050,000-050	43.1042
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[11][9]	SE	160.2960	21.0305	150-200,000-050	31	Needs fat contact	M1 (11)-M2 (13)	121.3840	75.9360	100-150,050-100	67.2960
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[11][9]	SE	160.2960	21.0640	150-200,000-050	31	Needs fat contact	M1 (11)-M2 (13)	121.3840	75.9360	100-150,050-100	67.2687
