ref_name	cell_name	pin_name	x	y	bucket20	inside_hotspot	line_no	point_index
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[17]	RSTB	259.552	245.872	240-260,240-260	yes	110	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[17]	RSTB	259.552	245.8697	240-260,240-260	yes	110	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[14]	QN	259.704	236.904	240-260,220-240	yes	111	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[16]	QN	259.704	237.816	240-260,220-240	yes	112	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[9]	RSTB	259.552	252.5555	240-260,240-260	yes	113	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[9]	RSTB	259.552	252.56	240-260,240-260	yes	113	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[9]	RSTB	259.552	252.5577	240-260,240-260	yes	113	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[10]	RSTB	260.464	248.912	260-280,240-260	yes	114	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[10]	RSTB	260.464	248.9165	260-280,240-260	yes	114	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[10]	RSTB	260.464	248.9142	260-280,240-260	yes	114	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	SI	299.68	103.2585	280-300,100-120	no	115	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	SI	299.68	103.296	280-300,100-120	no	115	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	SI	299.68	103.2772	280-300,100-120	no	115	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	CLK	300.288	103.428	300-320,100-120	no	116	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	CLK	300.288	103.448	300-320,100-120	no	116	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	CLK	300.288	103.438	300-320,100-120	no	116	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[8]	Q	299.68	69.552	280-300,060-080	no	117	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[10]	Q	300.288	44.016	300-320,040-060	no	118	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[11]	SE	299.68	37.7505	280-300,020-040	no	119	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[11]	SE	299.68	37.784	280-300,020-040	no	119	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[11]	SE	299.68	37.7672	280-300,020-040	no	119	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[12]	SE	300.288	32.312	300-320,020-040	no	120	1
